Orthogroup	Capsella_rubella	Brassica_rapa
OG0000037	Carub.0008s2004.1.p, Carub.0005s1279.1.p	Bra006719, Bra018210, Bra002571, Bra019486
OG0000037	Carub.0006s0823.1.p	Bra006033
OG0000038	Carub.0005s0501.1.p	Bra025236
OG0000038	Carub.0005s0506.1.p, Carub.0005s0504.1.p, Carub.0002s0814.1.p, Carub.0002s0815.1.p	Bra034248
OG0000038	Carub.0005s1791.1.p	Bra023272
OG0000038	Carub.0005s1910.1.p, Carub.0005s1194.1.p, Carub.0005s1909.1.p	Bra006939
OG0000038	Carub.0005s1519.1.p, Carub.0005s1521.1.p, Carub.0005s1520.1.p, Carub.0008s0938.1.p, Carub.0008s0939.1.p, Carub.0005s1522.1.p, Carub.0001s3364.1.p	Bra040480
OG0000039	Carub.0007s1800.1.p	Bra012706
OG0000039	Carub.0007s1794.1.p, Carub.0007s1807.1.p	Bra013199
OG0000039	Carub.0006s3049.1.p	Bra035222
OG0000039	Carub.0007s1792.1.p	Bra019317
OG0000039	Carub.0006s3047.1.p	Bra000746
OG0000040	Carub.0003s1159.1.p	Bra023128
OG0000040	Carub.0004s0220.1.p	Bra012153
OG0000040	Carub.0003s0966.1.p, Carub.0003s2578.1.p	Bra029842, Bra025640
OG0000040	Carub.0002s2006.1.p	Bra016001
OG0000041	Carub.0024s0015.1.p	Bra033927
OG0000041	Carub.0008s0594.1.p, Carub.0007s3055.1.p, Carub.0007s3157.1.p, Carub.0007s3143.1.p, Carub.0004s0616.1.p, Carub.0007s3038.1.p, Carub.0004s0523.1.p, Carub.0001s1088.1.p, Carub.0003s2750.1.p, Carub.0003s2772.1.p, Carub.0008s1087.1.p	Bra033922, Bra017679, Bra035991, Bra018033, Bra028038, Bra035314, Bra038115, Bra014805, Bra040867, Bra038304, Bra014058, Bra037613, Bra030392
OG0000043	Carub.0008s1038.1.p	Bra005562, Bra005563
OG0000043	Carub.0219s0002.1.p, Carub.0006s1881.1.p	Bra002305, Bra006560
OG0000043	Carub.0004s1293.1.p, Carub.0004s1294.1.p	Bra036778, Bra037076, Bra035695, Bra035694
OG0000043	Carub.0005s1366.1.p	Bra015204, Bra027938
OG0000044	Carub.0005s1317.1.p	Bra018182
OG0000044	Carub.0002s0305.1.p	Bra028374
OG0000044	Carub.0002s0291.1.p, Carub.0002s0311.1.p	Bra036658, Bra027069, Bra028375
OG0000044	Carub.0002s0309.1.p	Bra027066
OG0000045	Carub.0007s1788.1.p, Carub.0007s1786.1.p, Carub.0007s1787.1.p, Carub.0005s1171.1.p	Bra013596, Bra013683
OG0000045	Carub.0007s1813.1.p	Bra020821
OG0000045	Carub.0007s1812.1.p, Carub.0007s1804.1.p	Bra019324
OG0000045	Carub.0007s1806.1.p	Bra013676, Bra013677
OG0000045	Carub.0007s1803.1.p	Bra019322, Bra013678, Bra023844, Bra038935
OG0000045	Carub.0007s2975.1.p	Bra040998
OG0000045	Carub.0007s1796.1.p	Bra019323, Bra012544, Bra019320
OG0000045	Carub.0007s1809.1.p	Bra041081
OG0000046	Carub.0007s0407.1.p	Bra010552, Bra011666
OG0000046	Carub.0007s2167.1.p	Bra036790
OG0000046	Carub.0008s0325.1.p, Carub.0008s0294.1.p	Bra027599
OG0000046	Carub.0006s2909.1.p	Bra021956
OG0000047	Carub.0007s3164.1.p	Bra030120, Bra032680, Bra040765, Bra003058, Bra033203, Bra033202, Bra020938, Bra030257, Bra015151, Bra019496
OG0000050	Carub.0007s0200.1.p, Carub.0007s0201.1.p, Carub.0002s2245.1.p, Carub.0006s0948.1.p	Bra003745
OG0000051	Carub.0006s0729.1.p	Bra005989, Bra028659
OG0000051	Carub.0005s0524.1.p	Bra032978, Bra025247
OG0000051	Carub.0006s1231.1.p	Bra008777
OG0000051	Carub.0007s3453.1.p	Bra028480, Bra025532
OG0000051	Carub.0005s0523.1.p, Carub.0007s3452.1.p, Carub.0003s0015.1.p	Bra040553
OG0000051	Carub.0008s1065.1.p	Bra014066
OG0000051	Carub.0005s1480.1.p	Bra019556, Bra029911, Bra018044
OG0000051	Carub.0008s2420.1.p	Bra038639
