Orthogroup	Capsella_rubella	Thellungiella_parvula
OG0000069	Carub.0001s0700.1.p	Sp6g21360.1
OG0000069	Carub.0001s0700.1.p	Sp4g11600.1
OG0000069	Carub.0001s0700.1.p	Sp4g19900.1
OG0000069	Carub.0001s0700.1.p	Sp1g06390.1
OG0000069	Carub.0001s0717.1.p	Sp5g08650.1
OG0000069	Carub.0001s0717.1.p	Sp6g21360.1
OG0000069	Carub.0001s0717.1.p	Sp4g11600.1
OG0000069	Carub.0001s0717.1.p	Sp4g19900.1
OG0000069	Carub.0001s0717.1.p	Sp1g06390.1
OG0000069	Carub.0004s0975.1.p	Sp5g08650.1
OG0000069	Carub.0004s0975.1.p	Sp6g21360.1
OG0000069	Carub.0004s0975.1.p	Sp4g11600.1
OG0000069	Carub.0004s0975.1.p	Sp4g19900.1
OG0000069	Carub.0004s0975.1.p	Sp1g06390.1
OG0000069	Carub.0008s2033.1.p	Sp5g08650.1
OG0000069	Carub.0008s2033.1.p	Sp6g21360.1
OG0000069	Carub.0008s2033.1.p	Sp4g11600.1
OG0000069	Carub.0008s2033.1.p	Sp4g19900.1
OG0000069	Carub.0008s2033.1.p	Sp1g06390.1
OG0000070	Carub.0007s0072.1.p	Sp7g36970.1
OG0000070	Carub.0004s0025.1.p	Sp4g00400.1
OG0000070	Carub.0003s3215.1.p	Sp3g31440.1
OG0000070	Carub.0007s0412.1.p	Sp7g33890.1
OG0000070	Carub.0002s2243.1.p	Sp5g30700.1
OG0000070	Carub.0001s1934.1.p	Sp1g17620.1
OG0000070	Carub.0003s3033.1.p	Sp3g29850.1
OG0000070	Carub.0007s0553.1.p	Sp7g32540.1
OG0000071	Carub.0004s1101.1.p, Carub.0004s1100.1.p	Sp4g12490.1
OG0000072	Carub.0008s0706.1.p	Sp7g12150.1, Sp7g02510.1
OG0000074	Carub.0008s1976.1.p	Sp6g20800.1
OG0000074	Carub.0005s1307.1.p	Sp5g14890.1
OG0000074	Carub.0008s1984.1.p	Sp6g20890.1
OG0000074	Carub.0008s1946.1.p, Carub.0008s1945.1.p, Carub.0008s1947.1.p	Sp6g20510.1
OG0000074	Carub.0008s1985.1.p, Carub.0008s1983.1.p	Sp6g20870.1
OG0000077	Carub.0004s1453.1.p	Sp4g15410.1
OG0000077	Carub.0004s1404.1.p, Carub.0004s1403.1.p	Sp4g14900.1
OG0000078	Carub.0001s1962.1.p	Sp1g17860.1
OG0000078	Carub.0002s2275.1.p	Sp5g30980.1
OG0000078	Carub.0007s0529.1.p	Sp7g32780.1, Sp3g29990.1
OG0000078	Carub.0008s0195.1.p	Sp2g10850.1
OG0000078	Carub.0005s1767.1.p	Sp3g31210.1
OG0000079	Carub.0004s0525.1.p	Sp4g04890.1
OG0000079	Carub.0007s0816.1.p	Sp7g30200.1
OG0000079	Carub.0003s1011.1.p	Sp3g09190.1
OG0000079	Carub.0006s0410.1.p	Sp6g37660.1
OG0000079	Carub.0008s0451.1.p	Sp2g08870.1
OG0000079	Carub.0006s1564.1.p	Sp6g26800.1
OG0000079	Carub.0007s0125.1.p	Sp7g36530.1
OG0000079	Carub.0008s2555.1.p	Sp2g27810.1
OG0000079	Carub.0006s0830.1.p	Sp6g33540.1
OG0000080	Carub.0001s2878.1.p	Sp7g14750.1
OG0000083	Carub.0007s1566.1.p	Sp7g23370.1
OG0000083	Carub.0001s2429.1.p, Carub.0001s3299.1.p	Sp1g22080.1
OG0000083	Carub.0001s1373.1.p	Sp1g12400.1
OG0000083	Carub.0005s0217.1.p	Sp2g14180.1
OG0000083	Carub.0005s0216.1.p	Sp2g14170.1
OG0000084	Carub.0007s1287.1.p	Sp7g25920.1
OG0000084	Carub.0008s1348.1.p	Sp6g15450.1
OG0000084	Carub.0007s3378.1.p	Sp7g00370.1
OG0000084	Carub.0002s0056.1.p	Sp2g00510.1
OG0000084	Carub.0003s3054.1.p	Sp3g29980.1
OG0000084	Carub.0008s1647.1.p	Sp6g18000.1
OG0000084	Carub.0003s0782.1.p	Sp3g07130.1
OG0000085	Carub.0003s0998.1.p	Sp3g09080.1
OG0000085	Carub.0007s2619.1.p	Sp3g31850.1
OG0000086	Carub.0007s1539.1.p	Sp7g23620.1
OG0000086	Carub.0001s0046.1.p	Sp1g00550.1
OG0000086	Carub.0006s3653.1.p	Sp6g00670.1
OG0000086	Carub.0005s1187.1.p	Sp5g15590.1
OG0000086	Carub.0008s2054.1.p	Sp6g21600.1
OG0000086	Carub.0008s2056.1.p	Sp6g21590.1
OG0000086	Carub.0005s1186.1.p	Sp5g15610.1
OG0000088	Carub.0005s1126.1.p	Sp5g15930.1
OG0000088	Carub.0008s2101.1.p	Sp6g21910.1
OG0000088	Carub.0008s2099.1.p	Sp6g21880.1
OG0000088	Carub.0008s2100.1.p	Sp6g21890.1
OG0000088	Carub.0005s1127.1.p	Sp5g15920.1
OG0000088	Carub.0005s1123.1.p	Sp5g15950.1
OG0000088	Carub.0005s1125.1.p	Sp5g15940.1
OG0000088	Carub.0005s1121.1.p	Sp5g15970.1
OG0000088	Carub.0008s2103.1.p	Sp6g21920.1
OG0000089	Carub.0007s3074.1.p, Carub.0002s1014.1.p, Carub.0002s1016.1.p, Carub.0004s0685.1.p	Sp7g02635.1
OG0000090	Carub.0004s1184.1.p, Carub.0004s1182.1.p	Sp4g12090.1, Sp4g12160.1
OG0000090	Carub.0004s1036.1.p	Sp4g12085.1, Sp4g12060.1
OG0000090	Carub.0004s1035.1.p, Carub.0004s1034.1.p	Sp4g12080.1
OG0000094	Carub.0002s0372.1.p	Sp2g03070.1
OG0000094	Carub.0002s0374.1.p, Carub.0002s0375.1.p	Sp2g03090.1, Sp2g03117.1
OG0000094	Carub.0002s0379.1.p	Sp2g03110.1
OG0000094	Carub.0002s0380.1.p	Sp2g03120.1
OG0000095	Carub.0007s1745.1.p, Carub.0007s1744.1.p	Sp7g21600.1
OG0000095	Carub.0005s0443.1.p, Carub.0005s0446.1.p, Carub.0005s0445.1.p, Carub.0005s0444.1.p	Sp7g21610.1
OG0000096	Carub.0002s1339.1.p	Sp5g29380.1
OG0000098	Carub.0002s1323.1.p, Carub.0004s1818.1.p	Sp4g17010.1, Sp4g18670.1
OG0000098	Carub.0004s0741.1.p	Sp4g08450.1
OG0000098	Carub.0005s0873.1.p	Sp2g18270.1
OG0000098	Carub.0001s1530.1.p	Sp1g13880.1
OG0000098	Carub.0001s1496.1.p	Sp1g13520.1
